Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,0.011142,0.011746,0.008879,0.009463,0.009463,50781
2023-01-10,0.009471,0.024949,0.008640,0.024949,0.024949,336853
2023-01-11,0.024949,0.032352,0.018487,0.029903,0.029903,648358
2023-01-12,0.030415,0.030480,0.011535,0.018325,0.018325,459827
2023-01-13,0.018325,0.019404,0.012662,0.016024,0.016024,146265
2023-01-14,0.016024,0.023187,0.015332,0.019407,0.019407,175833
2023-01-15,0.019412,0.020283,0.015475,0.017263,0.017263,225377
2023-01-16,0.017263,0.019369,0.013564,0.016545,0.016545,161883
2023-01-17,0.016545,0.026931,0.013971,0.019280,0.019280,315570
2023-01-18,0.018387,0.019616,0.013119,0.014463,0.014463,206110
2023-01-19,0.014477,0.017738,0.013256,0.017645,0.017645,68439
2023-01-20,0.017648,0.020509,0.016776,0.020141,0.020141,70468
2023-01-21,0.020210,0.020210,0.016549,0.016999,0.016999,41762
2023-01-22,0.017011,0.021808,0.016044,0.018983,0.018983,50681
2023-01-23,0.018972,0.024934,0.017302,0.022469,0.022469,180695
2023-01-24,0.022459,0.025700,0.019388,0.024588,0.024588,182604
2023-01-25,0.024589,0.027815,0.021444,0.027657,0.027657,141240
2023-01-26,0.027368,0.045181,0.025533,0.034422,0.034422,429116
2023-01-27,0.034404,0.041349,0.030324,0.033480,0.033480,217712
2023-01-28,0.033471,0.034042,0.023400,0.027931,0.027931,173414
2023-01-29,0.027931,0.031906,0.025130,0.026087,0.026087,95144
2023-01-30,0.026124,0.029325,0.023991,0.026642,0.026642,48886
2023-01-31,0.026642,0.032444,0.025528,0.025946,0.025946,79625
2023-02-01,0.025932,0.048878,0.000282,0.004789,0.004789,919999
2023-02-02,0.004971,0.011103,0.002724,0.003206,0.003206,249061
2023-02-03,0.003207,0.004955,0.003062,0.004197,0.004197,56501
2023-02-04,0.004198,0.004730,0.003604,0.003666,0.003666,27243
2023-02-05,0.003669,0.004813,0.003669,0.004813,0.004813,19633
2023-02-06,0.004860,0.017031,0.004834,0.011108,0.011108,191528
2023-02-07,0.010733,0.017018,0.009160,0.014832,0.014832,233785
2023-02-08,0.014839,0.015690,0.010081,0.010806,0.010806,98183
2023-02-09,0.010815,0.014945,0.009013,0.011627,0.011627,106711
2023-02-10,0.011626,0.013614,0.008381,0.011040,0.011040,98902
2023-02-11,0.011040,0.011884,0.009730,0.011829,0.011829,40993
2023-02-12,0.011825,0.012391,0.010612,0.010642,0.010642,32848
2023-02-13,0.010649,0.010783,0.007721,0.009182,0.009182,38877
2023-02-14,0.009187,0.009590,0.008902,0.009574,0.009574,5301
2023-02-15,0.009571,0.011088,0.009439,0.010921,0.010921,26221
2023-02-16,0.010926,0.011156,0.009332,0.009623,0.009623,18890
2023-02-17,0.009640,0.010127,0.009176,0.010005,0.010005,8499
2023-02-18,0.010009,0.010604,0.008410,0.009111,0.009111,22000
2023-02-19,0.009115,0.010346,0.009082,0.009665,0.009665,18752
2023-02-20,0.009672,0.009909,0.008422,0.009463,0.009463,24980
2023-02-21,0.009462,0.009506,0.007610,0.007842,0.007842,17926
2023-02-22,0.007838,0.007877,0.006184,0.006428,0.006428,20491
2023-02-23,0.006431,0.006818,0.006151,0.006442,0.006442,14326
2023-02-24,0.006445,0.006504,0.005599,0.005669,0.005669,6607
2023-02-25,0.005669,0.005671,0.005401,0.005643,0.005643,4705
2023-02-26,0.005643,0.007521,0.005601,0.007518,0.007518,8654
2023-02-27,0.007515,0.008776,0.007284,0.008776,0.008776,9881
2023-02-28,0.008781,0.065411,0.006940,0.006945,0.006945,8013
2023-03-01,0.006945,0.007472,0.006402,0.006439,0.006439,9391
2023-03-02,0.006438,0.008269,0.006412,0.007469,0.007469,21409
2023-03-03,0.007466,0.007472,0.006473,0.007017,0.007017,3722
2023-03-04,0.007018,0.009001,0.007018,0.008661,0.008661,11902
2023-03-05,0.008660,0.010256,0.008610,0.008699,0.008699,19973
2023-03-06,0.008698,0.009190,0.008674,0.009145,0.009145,5828
2023-03-07,0.009148,0.009457,0.009126,0.009434,0.009434,4546
2023-03-08,0.009428,0.010180,0.009388,0.009906,0.009906,3862
2023-03-09,0.009911,0.010006,0.008583,0.008870,0.008870,4097
2023-03-10,0.008875,0.008897,0.008501,0.008869,0.008869,1395
2023-03-11,0.008869,0.009957,0.008768,0.009943,0.009943,2925
2023-03-12,0.009938,0.011033,0.009639,0.011033,0.011033,4356
2023-03-13,0.011040,0.011269,0.009862,0.009934,0.009934,9212
2023-03-14,0.009941,0.010581,0.009273,0.009377,0.009377,7190
2023-03-15,0.009379,0.010138,0.008885,0.009926,0.009926,8234
2023-03-16,0.009922,0.011019,0.009912,0.010892,0.010892,12360
2023-03-17,0.010910,0.011803,0.010877,0.011803,0.011803,5353
2023-03-18,0.011809,0.012807,0.011548,0.011687,0.011687,11477
2023-03-19,0.011687,0.011946,0.011380,0.011622,0.011622,6276
2023-03-20,0.011627,0.012040,0.011272,0.011306,0.011306,6637
2023-03-21,0.011310,0.011880,0.010777,0.011879,0.011879,5849
2023-03-22,0.011884,0.012663,0.011176,0.011266,0.011266,10885
2023-03-23,0.011267,0.011573,0.010861,0.011202,0.011202,5647
2023-03-24,0.011202,0.012582,0.011176,0.011450,0.011450,14348
2023-03-25,0.011454,0.011502,0.010042,0.010102,0.010102,8453
2023-03-26,0.010103,0.010114,0.009817,0.009963,0.009963,2285
2023-03-27,0.009965,0.010012,0.009293,0.009320,0.009320,3980
2023-03-28,0.009320,0.009731,0.009036,0.009634,0.009634,1650
2023-03-29,0.009632,0.010070,0.009598,0.010041,0.010041,2033
2023-03-30,0.010047,0.010277,0.009434,0.009672,0.009672,4177
2023-03-31,0.009671,0.010100,0.009362,0.009786,0.009786,5528
2023-04-01,0.009786,0.009882,0.009544,0.009614,0.009614,2645
